dt,individual,level,canopy,date,period,condition,wp_m,wp_sd,n
2026-07-09T11:30:00Z,3,3,Lower canopy,2026-07-09,PD,drought,-0.35,0.07071067811865478,2
2026-07-14T18:00:00Z,3,3,Lower canopy,2026-07-14,MD,drought,-1.3,0.28284271247461895,2
2026-07-14T11:30:00Z,3,3,Lower canopy,2026-07-14,PD,drought,-0.7,0,2
2026-07-16T18:00:00Z,3,3,Lower canopy,2026-07-16,MD,recovery,-0.2,0,2
2026-07-16T11:30:00Z,3,3,Lower canopy,2026-07-16,PD,recovery,-0.175,0.03535533905932739,2
2026-07-23T11:30:00Z,3,3,Lower canopy,2026-07-23,PD,recovery,-0.4,0.14142135623730953,2
2026-06-25T18:00:00Z,3,3,Upper canopy,2026-06-25,MD,predrought,-0.7,0,2
2026-06-25T11:30:00Z,3,3,Upper canopy,2026-06-25,PD,predrought,-0.22499999999999998,0.17677669529663687,2
2026-07-02T18:00:00Z,3,3,Upper canopy,2026-07-02,MD,drought,-0.975,0.03535533905932741,2
2026-07-02T11:30:00Z,3,3,Upper canopy,2026-07-02,PD,drought,-0.275,0.1060660171779821,2
2026-07-09T18:00:00Z,3,3,Upper canopy,2026-07-09,MD,drought,-1.075,0.10606601717798207,2
2026-07-09T11:30:00Z,3,3,Upper canopy,2026-07-09,PD,drought,-0.375,0.10606601717798214,2
2026-07-14T18:00:00Z,3,3,Upper canopy,2026-07-14,MD,drought,-1.125,0.10606601717798207,2
2026-07-14T11:30:00Z,3,3,Upper canopy,2026-07-14,PD,drought,-0.5,0.14142135623730948,2
2026-07-16T18:00:00Z,3,3,Upper canopy,2026-07-16,MD,recovery,-0.375,0.31819805153394637,2
2026-07-16T11:30:00Z,3,3,Upper canopy,2026-07-16,PD,recovery,-0.1,0,2
2026-07-23T11:30:00Z,3,3,Upper canopy,2026-07-23,PD,recovery,-0.475,0.1767766952966369,2
2026-06-25T18:00:00Z,4,3,Lower canopy,2026-06-25,MD,predrought,-0.875,0.2474873734152917,2
2026-06-25T11:30:00Z,4,3,Lower canopy,2026-06-25,PD,predrought,-0.25,0.04999999999999999,3
2026-07-02T18:00:00Z,4,3,Lower canopy,2026-07-02,MD,drought,-1.925,0.10606601717798207,2
2026-07-02T11:30:00Z,4,3,Lower canopy,2026-07-02,PD,drought,-0.375,0.03535533905932741,2
2026-07-09T18:00:00Z,4,3,Lower canopy,2026-07-09,MD,drought,-1.675,0.7424621202458751,2
2026-07-09T11:30:00Z,4,3,Lower canopy,2026-07-09,PD,drought,-0.375,0.10606601717798214,2
2026-07-14T18:00:00Z,4,3,Lower canopy,2026-07-14,MD,drought,-1.6,0.7071067811865476,2
2026-07-14T11:30:00Z,4,3,Lower canopy,2026-07-14,PD,drought,-0.55,0.07071067811865474,2
2026-07-16T18:00:00Z,4,3,Lower canopy,2026-07-16,MD,recovery,-0.32499999999999996,0.03535533905932737,2
2026-07-16T11:30:00Z,4,3,Lower canopy,2026-07-16,PD,recovery,-0.5,0.14142135623730948,2
2026-07-23T11:30:00Z,4,3,Lower canopy,2026-07-23,PD,recovery,-0.575,0.10606601717798214,2
2026-06-25T18:00:00Z,4,3,Upper canopy,2026-06-25,MD,predrought,-1,0.07071067811865482,2
2026-06-25T11:30:00Z,4,3,Upper canopy,2026-06-25,PD,predrought,-0.26666666666666666,0.11547005383792516,3
2026-07-02T18:00:00Z,4,3,Upper canopy,2026-07-02,MD,drought,-2.05,0.07071067811865482,2
2026-07-02T11:30:00Z,4,3,Upper canopy,2026-07-02,PD,drought,-0.35,0.07071067811865478,2
2026-07-09T18:00:00Z,4,3,Upper canopy,2026-07-09,MD,drought,-1.6,0.5656854249492381,2
2026-07-09T11:30:00Z,4,3,Upper canopy,2026-07-09,PD,drought,-0.55,0,2
2026-07-14T18:00:00Z,4,3,Upper canopy,2026-07-14,MD,drought,-2.3,0.1414213562373093,2
2026-07-14T11:30:00Z,4,3,Upper canopy,2026-07-14,PD,drought,-0.35,0.07071067811865478,2
2026-07-16T18:00:00Z,4,3,Upper canopy,2026-07-16,MD,recovery,-0.45,0.07071067811865474,2
2026-07-16T11:30:00Z,4,3,Upper canopy,2026-07-16,PD,recovery,-0.7,0.28284271247461906,2
2026-07-23T11:30:00Z,4,3,Upper canopy,2026-07-23,PD,recovery,-0.7,0.14142135623730956,2
