dt,Date,time,canopy,period,condition,gsw_var,gsw_m,instrument,gsw_sd,gbw_m,gtw,E_apparent_m,VPcham_m,VPref_m,VPleaf_m,VPDleaf_m,Fs_m,Fm'_m,Fm'_sd,rh_s_m,PhiPS2_m,PhiPS2_sd,rh_r_m,Tleaf_m,flow_m,flow_s_m
2026-06-24T12:38:22Z,2026-06-24,05:38:22,Lower,early,predrought,gsw_raw_m,-0.09777225,PSA-00618,0.03378867063253061,2.9195268333333333,-0.10155475,-0.6078334166666667,2.9582655,2.972974916666667,3.479948333333333,0.5216829166666667,184.8343005,536.7725805,32.58054299426325,87.85916666666667,0.6601529166666666,0.10126834664526299,88.295,26.49,156.425,155.18333333333334
2026-06-24T12:38:22Z,2026-06-24,05:38:22,Lower,early,predrought,gsw_zeroed_m,0,PSA-00618,0.03378867063253061,2.9195268333333333,-0.10155475,-0.6078334166666667,2.9582655,2.972974916666667,3.479948333333333,0.5216829166666667,184.8343005,536.7725805,32.58054299426325,87.85916666666667,0.6601529166666666,0.10126834664526299,88.295,26.49,156.425,155.18333333333334
2026-06-24T12:38:22Z,2026-06-24,05:38:22,Lower,early,predrought,gsw_rem_m,NA,PSA-00618,0.03378867063253061,2.9195268333333333,-0.10155475,-0.6078334166666667,2.9582655,2.972974916666667,3.479948333333333,0.5216829166666667,184.8343005,536.7725805,32.58054299426325,87.85916666666667,0.6601529166666666,0.10126834664526299,88.295,26.49,156.425,155.18333333333334
2026-06-30T12:42:33Z,2026-06-30,05:42:33,Lower,early,predrought,gsw_raw_m,-0.15083925,PSA-00618,0.043845139695658605,2.9197455,-0.1597665,-0.8582323333333334,2.959230916666667,2.9798938333333336,3.4029785833333333,0.44374766666666665,169.70965458333333,540.3493906666666,34.314038884245136,87.82416666666667,0.6872104166666667,0.07479405321457816,88.42583333333333,26.125,156.46666666666667,155.175
2026-06-30T12:42:33Z,2026-06-30,05:42:33,Lower,early,predrought,gsw_zeroed_m,0,PSA-00618,0.043845139695658605,2.9197455,-0.1597665,-0.8582323333333334,2.959230916666667,2.9798938333333336,3.4029785833333333,0.44374766666666665,169.70965458333333,540.3493906666666,34.314038884245136,87.82416666666667,0.6872104166666667,0.07479405321457816,88.42583333333333,26.125,156.46666666666667,155.175
2026-06-30T12:42:33Z,2026-06-30,05:42:33,Lower,early,predrought,gsw_rem_m,NA,PSA-00618,0.043845139695658605,2.9197455,-0.1597665,-0.8582323333333334,2.959230916666667,2.9798938333333336,3.4029785833333333,0.44374766666666665,169.70965458333333,540.3493906666666,34.314038884245136,87.82416666666667,0.6872104166666667,0.07479405321457816,88.42583333333333,26.125,156.46666666666667,155.175
2026-07-01T13:07:10Z,2026-07-01,06:07:10,Lower,early,drought,gsw_raw_m,-0.004557583333333333,PSA-00618,0.021235784029699976,2.88536975,-0.004706666666666667,-0.04666608333333334,2.3115893333333335,2.312722083333333,3.165040416666667,0.8534510833333333,150.12672558333333,541.796603,40.12007980850274,71.2325,0.7291501666666667,0.09772498850794913,71.26833333333333,24.91583333333333,152.675,151.66666666666666
2026-07-01T13:07:10Z,2026-07-01,06:07:10,Lower,early,drought,gsw_zeroed_m,0.006234083333333333,PSA-00618,0.021235784029699976,2.88536975,-0.004706666666666667,-0.04666608333333334,2.3115893333333335,2.312722083333333,3.165040416666667,0.8534510833333333,150.12672558333333,541.796603,40.12007980850274,71.2325,0.7291501666666667,0.09772498850794913,71.26833333333333,24.91583333333333,152.675,151.66666666666666
2026-07-01T13:07:10Z,2026-07-01,06:07:10,Lower,early,drought,gsw_rem_m,0.01870225,PSA-00618,0.021235784029699976,2.88536975,-0.004706666666666667,-0.04666608333333334,2.3115893333333335,2.312722083333333,3.165040416666667,0.8534510833333333,150.12672558333333,541.796603,40.12007980850274,71.2325,0.7291501666666667,0.09772498850794913,71.26833333333333,24.91583333333333,152.675,151.66666666666666
2026-07-02T12:28:19Z,2026-07-02,05:28:19,Lower,early,drought,gsw_raw_m,-0.01745708333333333,PSA-00618,0.022780841086948212,2.9197010833333334,-0.017728833333333333,-0.18440341666666668,2.62657075,2.631032916666667,3.59105025,0.9644794999999999,180.18430525,516.4578398333333,44.55393064928737,72.50083333333333,0.6479825833333334,0.09547255482118058,72.625,27.055,156.45833333333334,155.05
