date,datetime,daily_max,daily_min,amplitude,twd,twd_norm,twd_min,instance,Temperature,Humidity,VPD,Tree_ID,minute,hour,displacement.um.fixed,second,twd_pd
2026-06-23,2026-06-23T07:15:00Z,1628.90625,1585.4492187,43.457031299999926,3.417968700000074,0.009138381062476589,0.003916448950386387,15,28.59000015,87.79000092,0.477576584,BioR1111,21,0,1626.953125,0,0.053089643139583725
2026-06-23,2026-06-23T07:30:00Z,1628.90625,1585.4492187,43.457031299999926,9.277343700000074,0.024804177398747195,0.003916448950386387,15,28.62999916,89.84999847,0.397924185,BioR1111,36,0,1621.09375,0,0.053089643139583725
2026-06-23,2026-06-23T07:00:00Z,1628.90625,1585.4492187,43.457031299999926,1.464843700000074,0.003916448950386387,0.003916448950386387,15,29.31999969,84.83999634,0.618519723,BioR1111,6,0,1628.90625,0,0.053089643139583725
2026-06-23,2026-06-23T08:15:00Z,1628.90625,1585.4492187,43.457031299999926,15.136718700000074,0.0404699737350178,0.003916448950386387,15,29.19000053,87.65000153,0.500109136,BioR1111,21,1,1615.234375,0,0.053089643139583725
2026-06-23,2026-06-23T08:30:00Z,1628.90625,1585.4492187,43.457031299999926,17.089843700000074,0.04569190584710801,0.003916448950386387,15,27.86000061,93.12999725,0.257546991,BioR1111,36,1,1613.28125,0,0.053089643139583725
2026-06-23,2026-06-23T07:45:00Z,1628.90625,1585.4492187,43.457031299999926,9.765625,0.026109660560451012,0.003916448950386387,15,29.31999969,86.97000122,0.531616628,BioR1111,51,0,1620.6054687,0,0.053089643139583725
2026-06-23,2026-06-23T08:00:00Z,1628.90625,1585.4492187,43.457031299999926,14.6484375,0.03916449084067652,0.003916448950386387,15,29.12000084,89.02999878,0.442435354,BioR1111,6,1,1615.7226562,0,0.053089643139583725
2026-06-23,2026-06-23T09:15:00Z,1628.90625,1585.4492187,43.457031299999926,20.996093700000074,0.05613577007128841,0.003916448950386387,15,28.80999947,88.51000214,0.455177784,BioR1111,21,2,1609.375,0,0.053089643139583725
2026-06-23,2026-06-23T09:30:00Z,1628.90625,1585.4492187,43.457031299999926,20.019531200000074,0.05352480401524331,0.003916448950386387,15,28.21999931,92.31999969,0.294009298,BioR1111,36,2,1610.3515625,0,0.053089643139583725
2026-06-23,2026-06-23T08:45:00Z,1628.90625,1585.4492187,43.457031299999926,16.6015625,0.04438642295276672,0.003916448950386387,15,28.90999985,87.94999695,0.480131894,BioR1111,51,1,1613.7695312,0,0.053089643139583725
