dt,date,period,individual,leaf,canopy,time,wp,comments
2026-07-02T17:40:00Z,2026-07-02,MD,1,2,Lower canopy,10:40:00,-0.7,NA
2026-07-02T17:43:00Z,2026-07-02,MD,1,1,Upper canopy,10:43:00,-0.6,NA
2026-07-02T17:45:00Z,2026-07-02,MD,1,2,Upper canopy,10:45:00,-0.8,NA
2026-07-02T17:52:00Z,2026-07-02,MD,2,1,Lower canopy,10:52:00,-1,NA
2026-07-02T17:55:00Z,2026-07-02,MD,2,2,Lower canopy,10:55:00,-1.75,NA
2026-07-02T18:00:00Z,2026-07-02,MD,2,1,Upper canopy,11:00:00,-1.9,NA
2026-07-02T18:02:00Z,2026-07-02,MD,2,2,Upper canopy,11:02:00,-2,NA
2026-07-02T18:12:00Z,2026-07-02,MD,3,1,Lower canopy,11:12:00,-1.8,NA
2026-07-02T18:14:00Z,2026-07-02,MD,3,2,Lower canopy,11:14:00,-1.6,NA
2026-07-02T18:29:00Z,2026-07-02,MD,3,1,Upper canopy,11:29:00,-0.95,NA
2026-07-02T18:31:00Z,2026-07-02,MD,3,2,Upper canopy,11:31:00,-1,NA
2026-07-02T18:35:00Z,2026-07-02,MD,4,1,Lower canopy,11:35:00,-2,NA
2026-07-02T18:37:00Z,2026-07-02,MD,4,2,Lower canopy,11:37:00,-1.85,NA
2026-07-02T18:42:00Z,2026-07-02,MD,4,1,Upper canopy,11:42:00,-2,NA
2026-07-02T18:44:00Z,2026-07-02,MD,4,2,Upper canopy,11:44:00,-2.1,NA
