"","X","Year","Month","Day","Hour","Minute","Second","tmd5","tmd15","tmd25","tmd35","tmu5","tmu15","tmu25","tmu35","alpha5","beta5","VhrmHRM5","alpha15","beta15","VhrmHRM15","alpha25","beta25","VhrmHRM25","alpha35","beta35","VhrmHRM35","Voltage","EMU","TreeID","Datetime"
"20",20,26,4,12,9,0,14,68.9229229229229,NA,27.4894894894895,8.46596596596597,58.962962962963,NA,NA,NA,0.25856102679949,0.22440958869768,-4.23994516311094,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 09:00:00
"21",21,26,4,12,9,30,14,61.950950950951,NA,78.6891891891892,10.955955955956,47.4094094094094,NA,NA,NA,0.422552032619753,0.394216826924617,-1.78008007580699,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 09:30:00
"22",22,26,4,12,10,0,14,57.468968968969,NA,14.1431431431431,6.47397397397397,44.4214214214214,NA,NA,NA,0.539136046005247,0.515553063328296,-0.0313198750245753,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 10:00:00
"23",23,26,4,12,10,30,14,55.2777777777778,NA,34.1936936936937,14.4419419419419,44.9194194194194,NA,NA,NA,0.607057613517192,0.592827315736196,0.987503637654594,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 10:30:00
"24",24,26,4,12,11,0,14,53.6841841841842,NA,NA,0.497997997997998,44.4214214214214,NA,NA,NA,0.656900375120447,0.662487161391367,1.73514506170341,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 11:00:00
"25",25,26,4,12,11,30,14,48.2062062062062,NA,NA,24.4019019019019,48.2062062062062,NA,NA,NA,0.71044556762479,0.711736069888597,2.53832294926861,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 11:30:00
"26",26,26,4,12,12,0,14,46.9114114114114,NA,90.2372372372372,97.508008008008,40.4374374374374,NA,NA,NA,0.761906656509749,0.795020692017879,3.31023928254291,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 12:00:00
"27",27,26,4,12,12,30,14,42.4294294294294,NA,NA,3.98398398398398,44.2222222222222,NA,NA,NA,0.738961415260898,0.816891551869118,2.96606066381021,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 12:30:00
"28",28,26,4,12,13,0,14,44.4214214214214,NA,NA,6.47397397397397,46.2142142142142,NA,NA,NA,0.614882697123418,0.712259894930261,1.10487989174797,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 13:00:00
"29",29,26,4,12,13,30,14,47.6086086086086,NA,11.9954954954955,3.48598598598599,39.4414414414414,NA,NA,NA,0.702113206911142,0.731734921336471,2.41333753856381,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 13:30:00
"30",30,26,4,12,14,0,14,49.8993993993994,NA,75.6956956956957,5.94594594594595,43.9234234234234,NA,NA,NA,0.745870784350061,0.720950389894041,3.06970120014761,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 14:00:00
"31",31,26,4,12,14,30,14,53.982982982983,NA,NA,5.47797797797798,45.4174174174174,NA,NA,NA,0.69374184205204,0.659138467273744,2.28776706567731,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 14:30:00
"32",32,26,4,12,15,0,14,59.1621621621622,NA,40.2382382382382,23.9039039039039,48.4054054054054,NA,NA,NA,0.645012653573732,0.60231550116882,1.55682923850269,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 15:00:00
"33",33,26,4,12,15,30,14,55.5765765765766,NA,90.0810810810811,8.92342342342342,44.4214214214214,NA,NA,NA,0.525037943947368,0.503628471547504,-0.242791405892756,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 15:30:00
"34",34,26,4,12,16,0,14,61.452952952953,NA,NA,5.47797797797798,57.966966966967,NA,NA,NA,0.419447465874041,0.372009713252665,-1.82664857699268,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 16:00:00
"35",35,26,4,12,16,30,14,68.7237237237237,NA,30.9234234234234,57.966966966967,57.6681681681682,NA,NA,NA,0.327488077115968,0.301229908831403,-3.20603940836377,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 16:30:00
"36",36,26,4,12,17,0,14,72.4089089089089,NA,64.7397397397397,48.2062062062062,55.974974974975,NA,NA,NA,0.283920147695992,0.247862745606467,-3.85955834966341,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 17:00:00
"37",37,26,4,12,17,30,14,61.452952952953,NA,38.2567567567568,7.46996996996997,52.986986986987,NA,NA,NA,0.18425257030602,0.153628264054915,-5.35457201051299,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 17:30:00
