"","X","Year","Month","Day","Hour","Minute","Second","tmd5","tmd15","tmd25","tmd35","tmu5","tmu15","tmu25","tmu35","alpha5","beta5","VhrmHRM5","alpha15","beta15","VhrmHRM15","alpha25","beta25","VhrmHRM25","alpha35","beta35","VhrmHRM35","Voltage","EMU","TreeID","Datetime","SF_avg","SF_norm"
"1",1,26,3,30,12,0,14,35.9554554554555,29.4814814814815,34.4614614614615,46.9114114114114,97.9064064064064,24.8998998998999,26.4934934934935,26.4934934934935,0.267267858030002,0.13076513913162,2.1424512960068,1.24984594368028,1.14982644095599,18.6677221411704,1.35337150433753,0.948962817603936,22.5714147827441,1.35515372000179,0.887571759525151,24.2713466093923,0,"R1171_T",NA,2026-03-30 12:00:00,16.9132337073284,0.8291518848612
"2",2,26,3,30,12,30,14,35.4574574574575,36.4534534534535,33.9634634634635,52.986986986987,99.002002002002,24.8998998998999,25.9954954954955,26.4934934934935,0.19696929765801,0.0869132608200092,1.08797289042693,1.30859413428697,1.28158487085002,19.5489450002708,1.29754351305648,0.960394407479818,21.7339949135282,1.29953375142501,0.890458023066478,23.4370470807406,0,"R1171_T",NA,2026-03-30 12:30:00,16.4519899712416,0.806539939695973
"3",3,26,3,30,13,0,14,32.9674674674675,27.9874874874875,33.9634634634635,53.982982982983,98.4044044044044,26.4934934934935,24.8998998998999,27.4894894894895,0.0265280515580734,-0.0782872213292982,-1.46864580107212,1.23147234485078,1.12858532763724,18.3921181587279,1.35611966627587,0.993653120698947,22.6126372118191,1.31880123012668,0.865382338379371,23.7260592612657,0,"R1171_T",NA,2026-03-30 13:00:00,15.8155422076851,0.775338818024019
"4",4,26,3,30,13,30,14,33.4654654654655,34.9594594594595,34.9594594594595,55.476976976977,99.002002002002,24.9994994994995,28.9834834834835,25.4974974974975,0.028346113923591,-0.083284201597707,-1.44137486558935,1.31124562639044,1.2555262556763,19.5887173818228,1.45407467785444,1.02545140858225,24.0819623854978,1.34441452749798,0.874053809632865,24.1102587218352,0,"R1171_T",NA,2026-03-30 13:30:00,16.5848909058916,0.813055255594263
"5",5,26,3,30,14,0,14,62.946946946947,30.9754754754755,36.4534534534535,45.9154154154154,99.002002002002,22.4099099099099,28.9834834834835,29.4814814814815,-0.0163357360801435,0.057464037314209,-2.11160261564537,1.27462506665656,1.16683488599986,19.0394089858146,1.35547020394559,0.939408318948842,22.602895276865,1.35780053665205,0.805970612153347,24.3110488591463,0,"R1171_T",NA,2026-03-30 14:00:00,15.9604376265451,0.782442149754334
"6",6,26,3,30,14,30,14,39.4414414414414,28.4854854854855,33.9634634634635,43.9234234234234,99.002002002002,25.9954954954955,26.4934934934935,27.9874874874875,0.266010089377228,0.159231204912082,2.12358476621521,1.35523276463006,1.09017579318556,20.2485244554171,1.41695027812971,0.893793509847216,23.5250963896267,1.23623395036421,0.637115131825224,22.4875500648287,0,"R1171_T",NA,2026-03-30 14:30:00,17.0961889190219,0.838121054284734
"7",7,26,3,30,15,0,14,38.4454454454454,32.4694694694695,44.9194194194194,57.6681681681682,98.4044044044044,25.4974974974975,27.4894894894895,29.4814814814815,0.270972495809234,0.200361377668212,2.1980208626953,1.35651368949366,1.04992929989132,20.2677383283711,1.30864248985063,0.91480739358013,21.9004795654406,1.2063786574449,0.771641124656924,22.0397206710389,0,"R1171_T",NA,2026-03-30 15:00:00,16.6014898568865,0.813869000129594
"8",8,26,3,30,15,30,14,46.4134134134134,34.9594594594595,42.9274274274274,55.476976976977,97.4084084084084,28.4854854854855,27.9874874874875,32.4694694694695,0.312909116289438,0.205628951966615,2.82707016989835,1.30564320933998,0.999682423948654,19.504681126066,1.23763261028242,0.812647375966124,20.8353313719174,1.02775916161742,0.522454937493434,19.3604282336269,0,"R1171_T",NA,2026-03-30 15:30:00,15.6318777253772,0.766334877422067
"9",9,26,3,30,16,0,14,42.4294294294294,32.9674674674675,43.9234234234234,50.496996996997,98.9024024024024,26.9914914914915,30.4774774774775,31.4734734734735,0.174882343998915,0.048589219729891,0.756668585540503,1.23146153349007,0.827975309912541,18.3919559883173,1.12035186360009,0.695023353718177,19.0761201716824,0.841730348741974,0.395321691480438,16.5699960404951,0,"R1171_T",NA,2026-03-30 16:00:00,13.6986851965088,0.671562330855987
"10",10,26,3,30,16,30,14,48.9034034034034,35.4574574574575,48.4054054054054,65.4369369369369,98.9024024024024,30.4774774774775,33.4654654654655,31.4734734734735,0.223257685888929,0.117582091216849,1.48229871389072,1.21448444998771,0.816874573087835,18.1372997357819,0.98511603948709,0.596050107663068,17.0475828099875,0.706522020256153,0.509743957895241,14.5418711132078,0,"R1171_T",NA,2026-03-30 16:30:00,12.802263093217,0.627616265340815
